#	Book Name	#Ch.	Total Vv.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	Avg. Vv/Ch
6	Joshua	24	658	18	24	17	24	15	27	26	35	27	43	23	24	33	15	63	10	18	28	51	9	45	34	16	33	.	.	.	.	.	.	.	.	.	.	.	.	27.42
7	Judges	21	618	36	23	31	24	31	40	25	35	57	18	40	15	25	20	20	31	13	31	30	48	25	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	29.43
8	Ruth	4	85	22	23	18	22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	21.25
9	1 Samuel	31	810	28	36	21	22	12	21	17	22	27	27	15	25	23	52	35	23	58	30	24	42	16	23	28	23	43	25	12	25	11	31	13	.	.	.	.	.	26.13
10	2 Samuel	24	695	27	32	39	12	25	23	29	18	13	19	27	31	39	33	37	23	29	32	44	26	22	51	39	25	.	.	.	.	.	.	.	.	.	.	.	.	28.96
11	1 Kings	22	817	53	46	28	20	32	38	51	66	28	29	43	33	34	31	34	34	24	46	21	43*	29	54	.	.	.	.	.	.	.	.	.	.	.	.	.	.	37.14
12	2 Kings	25	719	18	25	27	44	27	33	20	29	37	36	20	22	25	29	38	20	41	37	37	21	26	20	37	20	30	.	.	.	.	.	.	.	.	.	.	.	28.76
13	1 Chronicles	29	943	54	55	24	43	41	66	40	40	44	14	47	41	14	17	29	43	27	17	19	8	30	19	32	31	31	32	34	21	30	.	.	.	.	.	.	.	32.52
14	2 Chronicles	36	821	18	17	17	22	14	42	22	18	31	19	23	16	23	14	19	14	19	34	11	37	20	12	21	27	28	23	9	27	36	27	21	33	25	33	26	23	22.81
15	Ezra	10	280	11	70	13	24	17	22	28	36	15	44	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	28.00
16	Nehemiah	13	405	11	20	38	17	19	19	72	18	37	40	36	47	31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	31.15
17	Tobit	14	245	22	14	17	21	22	18	17	21	6	14	18	22	18	15	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	17.50
18	Judith	16	340	16	28	10	15	24	21	32	36	14	23	23	20	20	19	14	25	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	21.25
19	Esther	16	272	22	23	15	17*	14	14	10	17	32	3	17	8	30	16	24	10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	17.00
20	1 Maccabees	16	922	63	70	59	61	68	63	50	32	73	89	74	53	53	49	41	24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	57.63
21	2 Maccabees	15	556	36	32	40	50	27	31	42	36	29	38	38	46	26	46	39	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	37.07

