#	Book Name	# Ch.	Total Vv.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	Avg. Vv/Ch
22	Job	42	1068	22	13	26	21	27	30	21	22	35	22	20	25	28	22	35	22	16	21	29	29	34	30	17	25	6	14	21	28	25	31	40	22	33	37	16	33	24	41	30	32	26	17	.	.	.	.	.	.	.	.	.	25.43
23a	Psalms (1-50)	.	.	6	11*	9	9	13	11	18	10	21	18	7	9	6	7	5	11	15	51	15	10	14	32	6	10	22	11	14	9	11	13	25	11	22	23	28	13	40	23	14	18	14	12	5	27	18	12	10	15	21	23	.	.
23b	Psalms (51-100)	.	.	21	11	7	9	24	14	12	12	18	14	9	13	12	11	14	20	8	36	37	6	24	20	28	23	11	13	21	72	13	20	17	8	19	13	14	17	7	19	53	17	16	16	5	23	11	13	12	9	9	5	.	.
23c	Psalms (101-150)	150	2526	8	29	22	35	45	48	43	14	31	7	10	10	9	8	18	19	2	29	176	7	8	9	4	8	5	6	5	6	8	8	3	18	3	3	21	26	9	8	24	14	10	8	12	15	21	10	20	14	9	6	.	16.83
24	Proverbs	31	915	33	22	35	27	23	35	27	36	18	32	31	28	25	35	33	33	28	24	29	30	31	29	35	34	28	28	27	28	27	33	31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	29.52
25	Ecclesiastes	12	222	18	26	22	17	19	12	29	17	18	20	10	14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	18.50
26	Song of Solomon	8	117	17	17	11	16	16	12	14	14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	14.63
27	Wisdom of Solomon	19	436	16	24	19	20	23	25	30	21	18	21	26	27	19	31	19	29	21	25	22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	22.95
28	Sirach/Ecclesiasticus	51	1372	29	18	30	31	17	37	36	19	18	30	34	18	25	27	20	28	27	33	26	30	28	27	27	31	25	20	30	26	28	25	31	24	33	26	24	27	30	34	35	30	24	25	35	23	26	20	25	25	16	29	30	26.90

